"ID","SEX","TYPEAREA","SEX.REPRO","REPRO.STATUS","AGE","PARASITE_STATUS","RBC","HGB","WBC","EOS.CNT","MONO.CNT","NUT.CNT","PL.CNT","LYMP.CNT"
"grls5ZUT2BYY","Male","Suburban","IntactMale","Intact",9,"Negative",6.4,16.6,14.2,142,852,6390,210,6816
"grls8DCONYUU","Female","Rural","NeuteredFemale","Neutered",6,"Negative",4.8,12.5,10,400,300,4800,209,4500
"grlsUC5R4PTT","Male","Suburban","IntactMale","Intact",14,"Negative",6.2,17.3,9.5,190,475,7315,164,1520
"grlsXUR2PY88","Male","Rural","IntactMale","Intact",6,"Negative",5.4,13.8,14.1,1692,423,7755,254,4230
"grlsTBZUF3GG","Female","Rural","IntactFemale","Intact",18,"Negative",5.9,14.4,6.5,390,130,2795,213,3185
"grls3V6P5EEE","Male","Suburban","IntactMale","Intact",17,"Negative",5.8,16,6.1,122,183,4026,194,1769
"grlsQHPLBW22","Male","Rural","IntactMale","Intact",5,"Negative",5.2,13.8,9.1,637,455,3913,433,4095
"grlsS99HCF44","Male","Suburban","IntactMale","Intact",9,"Positive",5.8,14.7,13.9,139,417,7089,334,6255
"grls2IS89WTT","Female","Suburban","IntactFemale","Intact",16,"Negative",7,18,10.4,104,936,5616,264,3744
"grlsK5CWL6FF","Female","Suburban","NeuteredFemale","Neutered",16,"Negative",5.2,14.7,8.2,410,246,3608,155,3936
"grls2KHB6NCC","Male","Suburban","IntactMale","Intact",15,"Negative",5.5,16,8.8,528,352,4488,183,3432
"grls9FFL6MEE","Female","Suburban","NeuteredFemale","Neutered",15,"Negative",5.6,15.2,8.8,88,352,6072,264,2288
"grlsEX7LHFFF","Female","Suburban","IntactFemale","Intact",8,"Negative",5.5,14.2,10.7,107,963,4708,289,4922
"grlsEPJAI700","Female","Rural","NeuteredFemale","Neutered",21,"Negative",7,17.4,9.5,285,285,5890,192,3040
"grls7P1KEJVV","Female","Rural","IntactFemale","Intact",7,"Negative",7.2,17.5,9.3,186,372,4929,300,3813
"grlsYRBHEODD","Female","Rural","NeuteredFemale","Neutered",16,"Negative",6.1,17.6,9.3,372,372,6603,242,1953
"grlsBXL4F311","Female","Suburban","NeuteredFemale","Neutered",8,"Negative",4.7,12.1,10,100,400,5600,234,3900
"grlsQKDCE6JJ","Female","Urban","NeuteredFemale","Neutered",17,"Negative",6.2,17.3,6.8,272,136,3536,91,2856
"grls9RUTVFMM","Female","Suburban","NeuteredFemale","Neutered",15,"Negative",6.3,17.1,5.8,406,174,3016,233,2204
"grls6OI4R7JJ","Male","Rural","IntactMale","Intact",25,"Positive",5.8,14.6,11.3,0,1017,6667,183,3616
"grlsX5T7YYPP","Female","Rural","IntactFemale","Intact",14,"Negative",6.2,16.7,8.7,87,522,5046,256,3045
"grlsMP46ZTZZ","Male","Suburban","IntactMale","Intact",7,"Negative",5.3,14.8,10,400,400,4700,276,4500
"grlsIWR44YJJ","Male","Rural","IntactMale","Intact",16,"Negative",5.3,14.2,10.3,0,927,5768,259,3605
"grlsVC2Y09KK","Male","Suburban","IntactMale","Intact",24,"Positive",5.7,14.4,10.1,3131,404,3333,262,3232
"grlsZ6FMPN22","Female","Suburban","IntactFemale","Intact",11,"Positive",5,13.6,10.7,1177,535,4922,318,4066
"grlsNGGIOICC","Female","Suburban","NeuteredFemale","Neutered",24,"Negative",6.8,16.1,8.1,162,405,4617,329,2916
"grlsNMRWLTHH","Female","Suburban","NeuteredFemale","Neutered",6,"Negative",5.8,13,10.2,0,714,7242,262,2244
"grlsP1GMHYZZ","Male","Suburban","IntactMale","Intact",6,"Negative",5.9,13.7,13.6,272,680,7344,293,5304
"grls9CBQN1BB","Male","Suburban","IntactMale","Intact",17,"Negative",7.5,17.7,15.8,948,474,10270,172,4108
"grlsW7LSEJXX","Male","Suburban","NeuteredMale","Neutered",26,"Negative",6.2,15.1,9.4,0,1504,5546,330,2350
"grls1495QP66","Female","Suburban","IntactFemale","Intact",15,"Negative",6.3,15.9,8,0,1040,4400,392,2560
"grls8W0NUDGG","Male","Rural","IntactMale","Intact",6,"Negative",5.6,14.3,14.1,141,846,9588,218,3525
"grlsUU7H5BUU","Female","Urban","NeuteredFemale","Neutered",8,"Negative",5.9,14.7,8.6,258,344,4472,214,3526
